338,Spangled Drongo
339,Black-faced Monarch
340,Magpie-lark
341,Leaden Flycatcher
342,Satin Flycatcher
343,Restless Flycatcher
344,White-winged Chough
345,Apostlebird
346,Little Crow
347,Australian Raven
348,Little Raven
349,Forest Raven
350,Jacky Winter
351,Scarlet Robin
352,Flame Robin
353,Rose Robin
354,Pink Robin
355,Red-capped Robin
356,Hooded Robin
357,Eastern Yellow Robin
358,Southern Scrub Robin
359,Australasian Bushlark
360,Eurasian Skylark
361,Golden-headed Cisticola
362,Australian Reed Warbler
363,Little Grassbird
364,Brown Songlark
365,Rufous Songlark
366,Welcome Swallow
367,Fairy Martin
368,Tree Martin
369,White-backed Swallow
370,Silvereye
371,Common Starling
372,Common Myna
373,Bassian Thrush
374,Song Thrush
375,Common Blackbird
376,Mistletoebird
377,Diamond Firetail
378,Beautiful Firetail
379,Red-browed Finch
380,Double-barred Finch
381,Zebra Finch
382,House Sparrow
383,Eurasian Tree Sparrow
384,Australian Pipit
385,European Greenfinch
386,European Goldfinch
,Mallard
,African Collared Dove
,Red-whiskered Bulbul
