346,Little Raven
347,Forest Raven
348,Jacky Winter
349,Scarlet Robin
350,Flame Robin
351,Rose Robin
352,Pink Robin
353,Red-capped Robin
354,Hooded Robin
355,Eastern Yellow Robin
356,Southern Scrub Robin
357,Australasian Bushlark
358,Eurasian Skylark
359,Golden-headed Cisticola
360,Australian Reed Warbler
361,Little Grassbird
362,Brown Songlark
363,Rufous Songlark
364,Welcome Swallow
365,Fairy Martin
366,Tree Martin
367,White-backed Swallow
368,Silvereye
369,Common Starling
370,Common Myna
371,Bassian Thrush
372,Song Thrush
373,Common Blackbird
374,Mistletoebird
375,Diamond Firetail
376,Beautiful Firetail
377,Red-browed Finch
378,Zebra Finch
379,House Sparrow
380,Eurasian Tree Sparrow
381,Australian Pipit
382,European Greenfinch
383,European Goldfinch
,Mallard
,Regent Honeyeater
